65000000,No Cast,NULL
65000001,A.J. Moss,Not Available
65000002,A.J. Tannen,Not Available
65000003,Aadyn Encalarde,Not Available
65000004,Aaron Craven,25.Jul.74
65000005,Aaron Moorhead,Not Available
65000006,Aaron Phagura,Not Available
65000007,Aasif Mandvi,5.Mar.66
65000008,Abbie Cornish,7.Aug.82
65000009,Abby Glover,Not Available
65000010,Abby Ryder Fortson,Not Available
65000011,Abdou Balde,Not Available
65000012,Abeer Khalid,Not Available
65000013,Abraham Attah,Not Available
65000014,Abs Abulfaraj,Not Available
65000015,Adam Brody,15.Dec.79
65000016,Adam DeVine,Not Available
65000017,Adam Driver,Not Available
65000018,Adam Ferency,5.Oct.51
65000019,Adam Horovitz,31.Oct.66
65000020,Adam Pally,Not Available
65000021,Adam Pearson,Not Available
65000022,Adam Pepper,Not Available
65000023,Adam Pierzchalski,Not Available
65000024,Adam Rodness,Not Available
65000025,Adam Sandler,9.Sep.66
65000026,Adam Shaw,11.Apr.74
65000027,Adam Simon Krist,Not Available
65000028,Adam Woronowicz,Not Available
65000029,Adan Jodorowsky,Not Available
65000030,Addison Riecke,Not Available
65000031,Adelaide Clemens,Not Available
65000032,Adèle Haenel,Not Available
65000033,Adilé David,Not Available
65000034,Adrian Edmondson,24.Jan.57
65000035,Adrian Favela,Not Available
65000036,Adrian McLoughlin,Not Available
65000037,Adrian Scarborough,Not Available
65000038,Adrian Titieni,Not Available
65000039,Adriana Mendonca,Not Available
65000040,Afaf Danien,Not Available
65000041,Afomia Hailemeskel,Not Available
65000042,Agata Kulesza,Not Available
65000043,Ági Szirtes,Not Available
65000044,Agnès Varda,30.May.28
65000045,Agnes Westerlund Rase,Not Available
65000046,Agustí Villaronga,Not Available
65000047,Agustín Almodóvar,10.Mar.76
65000048,Agustin Reiter,Not Available
65000049,Ah-in Yoo,Not Available
65000050,Ahlam Canaan,Not Available
65000051,Ahlam Sliman,Not Available
65000052,Aidan Kennedy,Not Available
65000053,Aiden Malik,Not Available
65000054,Aiman Sohel Daw,Not Available
65000055,Aino Jawo,Not Available
65000056,Aisling Turner,Not Available
65000057,Aki Omoshaybi,Not Available
65000058,Akira Emoto,3.Nov.48
65000059,Akshay Kumar,9.Sep.67
65000060,Al Clark,Not Available
65000061,Al Coronel,Not Available
65000062,Al Madrigal,Not Available
65000063,Al Pacino,25.Apr.40
65000064,Al Wexo,Not Available
65000065,Al-Hassan Ly,Not Available
65000066,Alaa Chouchnieh,Not Available
65000067,Alain Libolt,20.Aug.43
65000068,Alan Alda,28.Jan.36
65000069,Alan Billingham,Not Available
65000070,Alan Frazier,Not Available
65000071,Alan Reddy,Not Available
65000072,Alan Tudyk,16.Mar.71
65000073,Alanna Ubach,3.Oct.75
65000074,Albert Delpy,13.Sep.41
65000075,Albert Jones,Not Available
65000076,Albert Nicholas,Not Available
65000077,Alberto Ospino,Not Available
65000078,Aldis Hodge,Not Available
65000079,Alec Baldwin,3.Apr.58
65000080,Alec Secareanu,Not Available
65000081,Alejandro Edda,Not Available
65000082,Alejandro Goic,Not Available
65000083,Alejandro Jodorowsky,7.Feb.29
65000084,Aleks Paunovic,Not Available
65000085,Aleksa Palladino,21.Sep.80
65000086,Aleksandar Filimonovic,Not Available
65000087,Aleksandr Kuznetsov,Not Available
65000088,Aleksandra Konieczna,13.Oct.65
65000089,Aleksey Rozin,Not Available
65000090,Alessandro Miro,Not Available
65000091,Alessandro Nivola,28.Jun.72
65000092,Alessia Cara,Not Available
65000093,Alessio Praticò,Not Available
65000094,Alex Brendemühl,27.Nov.72
65000095,Alex Collins,Not Available
65000096,Alex Harrouch,Not Available
65000097,Alex Honnold,Not Available
65000098,Alex James,21.Nov.68
65000099,Alex Kruz,Not Available
65000100,Alex Manette,31.Oct.69
65000101,Alex Quarles,Not Available
65000102,Alex Sgambati,Not Available
65000103,Alex Wolff,1.Nov.97
65000104,Alexa Laraki,Not Available
65000105,Alexa Povah,Not Available
65000106,Alexander Carney,Not Available
65000107,Alexander Ludwig,7.May.92
65000108,Alexander Mercury,Not Available
65000109,Alexander Polinsky,7.Oct.74
65000110,Alexandra Berardi,Not Available
65000111,Alexandra Daddario,16.Mar.86
65000112,Alexandra Shipp,Not Available
65000113,Alexandre Poole,Not Available
65000114,Alexandria Ocasio-Cortez,Not Available
65000115,Alexi Pappas,Not Available
65000116,Alexia Khadime,Not Available
65000117,Alexis Julemont,Not Available
65000118,Alexis Manenti,Not Available
65000119,Alexis Milan Turner,Not Available
65000120,Alexxis Lemire,Not Available
65000121,Alfie Allen,12.Sep.86
65000122,Alfie Dobson,Not Available
65000123,Alfonso Arau,11.Jan.32
65000124,Alfonso Christian Lover,Not Available
65000125,Alfred Molina,24.May.53
65000126,Alfredo Castro,Not Available
65000127,Algee Smith,Not Available
65000128,Algenis Perez Soto,Not Available
65000129,Ali Badshah,Not Available
65000130,Ali Badshah,Not Available
65000131,Ali Wong,Not Available
65000132,Ali Wong,Not Available
65000133,Alia Shawkat,18.Apr.89
65000134,Alice Ansara,Not Available
65000135,Alice D'Hauwe,Not Available
65000136,Alice de Lencquesaing,Not Available
65000137,Alice Krige,28.Jun.54
65000138,Alice Lowe,Not Available
65000139,Alicia Guerra,Not Available
65000140,Alicia Mencia Castano,Not Available
65000141,Alicia Silverstone,4.Oct.76
65000142,Aline Küppenheim,21.Jul.81
65000143,Aliosman Deliev,Not Available
65000144,Alisa Solomon,Not Available
65000145,Alison Ball,Not Available
65000146,Alison Brie,Not Available
65000147,Alison Elliott,19.May.70
65000148,Alison Fernandez,Not Available
65000149,Alivia Levie,Not Available
65000150,Alkoya Brunson,Not Available
65000151,Allegra Fulton,Not Available
65000152,Allesandro Juliani,Not Available
65000153,Allison Gabriel,Not Available
65000154,Allison Janney,19.Nov.60
65000155,Allison McAtee,Not Available
65000156,Allison Williams,Not Available
65000157,Ally Maki,Not Available
65000158,Almamy Kanoute,Not Available
65000159,Aloïse Sauvage,Not Available
65000160,Alonzo Atkins,Not Available
65000161,Alphaeus Green; Jr.,Not Available
65000162,Althea Sam,Not Available
65000163,Alyssa Bresnahan,Not Available
65000164,Amadou Mbow,Not Available
65000165,Amali Golden,Not Available
65000166,Amanda Evans,Not Available
65000167,Amanda Lawrence,Not Available
65000168,Amanda M. Rodriguez,Not Available
65000169,Amanda Michalka,10.Apr.91
65000170,Amanda Musso,Not Available
65000171,Amanda Seyfried,3.Dec.85
65000172,Amanda Smith,Not Available
65000173,Amandine Hinnekens,Not Available
65000174,Amandla Stenberg,Not Available
65000175,Amani Ballour,Not Available
65000176,Amber Anderson,Not Available
65000177,Amber Doyle,Not Available
65000178,Amber Havard,Not Available
65000179,America Ferrera,18.Apr.84
65000180,Ami Fujimoto,Not Available
65000181,Amiah Miller,Not Available
65000182,Aminata Kane,Not Available
65000183,Amir Khuri,Not Available
65000184,Amir Talai,24.Jun.77
65000185,Amira Casar,1.May.71
65000186,Amira Ghazalla,Not Available
65000187,Amit Shah,Not Available
65000188,Ammie Leonards,Not Available
65000189,Amparo Noguera,Not Available
65000190,Amy Christian,Not Available
65000191,Amy Christian,Not Available
65000192,Amy Claire,Not Available
65000193,Amy Forsyth,Not Available
65000194,Amy Hill,9.May.53
65000195,Amy J. Cheng,Not Available
65000196,Amy Ryan,30.Nov.69
65000197,Amy Sedaris,29.Mar.61
65000198,Amy Seimetz,Not Available
65000199,Amy Tribbey,Not Available
65000200,Amy Vilela,Not Available
65000201,Ana Ayora,Not Available
65000202,Ana Brun,Not Available
65000203,Ana de Armas,30.Apr.88
65000204,Ana Ivanova,Not Available
65000205,Ana Javakishvili,Not Available
65000206,Ana Mercedes,Not Available
65000207,Ana Mulvoy Ten,Not Available
65000208,Anders Back,Not Available
65000209,Anders Backe,Not Available
65000210,Anders Beckman,Not Available
65000211,Anders Thage,Not Available
65000212,Anderson .Paak,Not Available
65000213,Andi Osho,Not Available
65000214,Andie MacDowell,21.Apr.58
65000215,André Holland,Not Available
65000216,Andrea Bang,Not Available
65000217,Andrea Frigerio,Not Available
65000218,Andrea Frye,Not Available
65000219,Andrea Lea Martzipan,Not Available
65000220,Andréa Marquee,Not Available
65000221,Andrea Riseborough,27.Oct.81
65000222,Andrea Riseborough,27.Oct.81
65000223,Andrene Ward-Hammond,Not Available
65000224,Andrés Aliaga,Not Available
65000225,"Andrew ""King Bach"" Bachelor",Not Available
65000226,Andrew Alexander Reeves,Not Available
65000227,Andrew Brackfield,Not Available
65000228,Andrew Byron,10.Aug.71
65000229,Andrew Cazanave Pin,Not Available
65000230,Andrew Davis,Not Available
65000231,Andrew Dice Clay,29.Sep.57
65000232,Andrew Garfield,20.Aug.83
65000233,Andrew Jack,Not Available
65000234,Andrew Scott,21.Oct.76
65000235,Andrew Simpson,1.Jan.89
65000236,Andrew Spach,Not Available
65000237,Andrey Bykov,Not Available
65000238,Andris Keyshs,Not Available
65000239,Andy Goldsworthy,Not Available
65000240,Andy McDermott,Not Available
65000241,Andy Nyman,13.Apr.66
65000242,Andy Powers,Not Available
65000243,Andy Serkis,20.Apr.64
65000244,Andy Serkis,20.Apr.64
65000245,Aneurin Barnard,Not Available
65000246,Angela Bassett,16.Aug.58
65000247,Angela Davis,Not Available
65000248,Angelica Lisk,Not Available
65000249,Anggun Priambodo,Not Available
65000250,Angourie Rice,Not Available
65000251,Angus Imrie,Not Available
65000252,Angus Macfadyen,21.Sep.63
65000253,Anika C. McFall,Not Available
65000254,Anjelica Huston,8.Jul.51
65000255,Anki Larsson,Not Available
65000256,Ankit Vaishnav,Not Available
65000257,Ann Dowd,Not Available
65000258,Ann J. Wolfe,Not Available
65000259,Ann McKenzie,Not Available
65000260,Ann Ogbomo,Not Available
65000261,Ann Petren,Not Available
65000262,Anna Åström,Not Available
65000263,Anna Berentz,Not Available
65000264,Anna Camp,27.Sep.82
65000265,Anna Cathcart,Not Available
65000266,Anna Deavere Smith,18.Sep.50
65000267,Anna Diop,Not Available
65000268,Anna Kendrick,9.Aug.85
65000269,Anna MacDonald,Not Available
65000270,Anna Paquin,24.Jul.82
65000271,Anna Solomin,Not Available
65000272,Anna Zagorska,Not Available
65000273,Annabelle Lee,9.Sep.82
65000274,Annaleigh Ashford,Not Available
65000275,Anne Alix,Not Available
65000276,Anne Hathaway,12.Nov.82
65000277,Anne Helen Petersen,Not Available
65000278,Anne McDaniels,Not Available
65000279,Annette Bening,29.May.58
65000280,Annette O'Toole,1.Apr.52
65000281,Anni Finsterer,Not Available
65000282,Annie Pisapia,Not Available
65000283,Annie Potts,28.Oct.52
65000284,Ansel Elgort,Not Available
65000285,Antar Machado,Not Available
65000286,Anthony Abdo,Not Available
65000287,Anthony Brandon Wong,Not Available
65000288,Anthony Daniels,21.Feb.46
65000289,Anthony Escobar,Not Available
65000290,Anthony Frederick,Not Available
65000291,Anthony Gonzalez,Not Available
65000292,Anthony Hopkins,31.Dec.37
65000293,Anthony Latona,Not Available
65000294,Anthony Loder,Not Available
65000295,Anthony Mackie,23.Sep.79
65000296,Anthony Molinari,Not Available
65000297,Anthony Ramos,Not Available
65000298,Anthony Ulc,Not Available
65000299,Antoine Holmes; Sr.,Not Available
65000300,Antoine Reinartz,Not Available
65000301,Anton Palmer,Not Available
65000302,Anton von Lucke,Not Available
65000303,Antonia Marie Vivino,Not Available
65000304,Antonia Zegers,Not Available
65000305,Antonio Banderas,10.Aug.60
65000306,Antonio Buíl,Not Available
65000307,Antonio D. Charity,17.Jun.72
65000308,Antonio Rosales,Not Available
65000309,Antonio Saboia,Not Available
65000310,Antwan 'Big Boi' Patton,1.Feb.75
65000311,Anupam Kher,7.Mar.45
65000312,Anya Taylor-Joy,Not Available
65000313,Apesanahkwat,Not Available
65000314,Apollo Garza,Not Available
65000315,April Billingsley,2.Jan.75
65000316,April Szykeruk,Not Available
65000317,Aqueela Zoll,Not Available
65000318,Archie Madekwe,Not Available
65000319,Archie Yates,Not Available
65000320,Ardalan Esmaili,Not Available
65000321,Aretha Franklin,25.Mar.42
65000322,Ari Cohen,Not Available
65000323,Ari Graynor,27.Apr.83
65000324,Ari Groover,Not Available
65000325,Ariana Neal,Not Available
65000326,Arie Tcherner,Not Available
65000327,Ariel Borenstein,Not Available
65000328,Arinzé Kene,Not Available
65000329,ark Atkin,Not Available
65000330,Armie Hammer,28.Aug.86
65000331,Arna Rox,Not Available
65000332,Arnaud Valois,Not Available
65000333,Arthur Nascarella,Not Available
65000334,Asher Angel,Not Available
65000335,Ashley LeConte Campbell,Not Available
65000336,Ashley McKoy,Not Available
65000337,Ashlie Atkinson,6.Aug.77
65000338,Ashlyn Casalegno,Not Available
65000339,Ashton Tyler,Not Available
65000340,Asia Kate Dillon,Not Available
65000341,Asier Etxeandia,27.Jun.75
65000342,Asier Flores,Not Available
65000343,Asmaa Al-Bahiyya,Not Available
65000344,Aston McAuley,Not Available
65000345,Astrid Corrales,Not Available
65000346,Astro,24.Jun.57
65000347,Augustine Frizzell,Not Available
65000348,Aunjanue Ellis,21.Feb.69
65000349,Austin Butler,17.Aug.91
65000350,Austin Crute,Not Available
65000351,Austin Hébert,Not Available
65000352,Austin Lewis,Not Available
65000353,Austin Pendleton,27.Mar.40
65000354,Austin R. Grant,Not Available
65000355,Austin Stowell,Not Available
65000356,Austin Swift,Not Available
65000357,Austyn Johnson,Not Available
65000358,Ava DuVernay,Not Available
65000359,Ava Preston,Not Available
65000360,Avi Boyko,Not Available
65000361,Aviv Alush,Not Available
65000362,Awkwafina,Not Available
65000363,Axel Devillers,Not Available
65000364,Ayanna Berkshire,Not Available
65000365,Ayden Mayeri,Not Available
65000366,Azhy Robertson,Not Available
65000367,Azie Tesfai,Not Available
65000368,Aziz,Not Available
65000369,Babak Karimi,Not Available
65000370,Babak Tafti,Not Available
65000371,Babyface,Not Available
65000372,Bai Feng,Not Available
65000373,Bailey Lackas,Not Available
65000374,Balázs Megyeri,Not Available
65000375,Balint Adorjani,Not Available
65000376,Bambadjan Bamba,30.Jan.82
65000377,Baptiste Goy,Not Available
65000378,Barbara Beretta,Not Available
65000379,Barbara Colen,Not Available
65000380,Barbara Drennan,Not Available
65000381,Barbora Kysilkova,Not Available
65000382,Barkhad Abdi,Not Available
65000383,Barlow Jacobs,Not Available
65000384,Barry Adamson,1.Jun.58
65000385,Barry Alan Williams,Not Available
65000386,Barry Keoghan,Not Available
65000387,Barry Mitchell,Not Available
65000388,Barry Rothbart,Not Available
65000389,Barry Shabaka Henley,15.Sep.54
65000390,Barry Ward,Not Available
65000391,Bartlett Sher,Not Available
65000392,Bartosz Bielenia,Not Available
65000393,Bashar Salameh,Not Available
65000394,Bastián Bodenhöfer,Not Available
65000395,Baxter Humby,Not Available
65000396,Beanie Feldstein,Not Available
65000397,Beatrice Chien,Not Available
65000398,Becky,Not Available
65000399,Behnaz Jafari,Not Available
65000400,Béla Gados,Not Available
65000401,Bella Higginbotham,Not Available
65000402,Bellamine Abdelmalek,Not Available
65000403,Ben Affleck,15.Aug.72
65000404,Ben Conry,Not Available
65000405,Ben Edelman,Not Available
65000406,Ben Falcone,Not Available
65000407,Ben Foster,29.Oct.80
65000408,Ben Harris,Not Available
65000409,Ben Konigsberg,Not Available
65000410,Ben Mendelsohn,3.Apr.69
65000411,Ben Moor,Not Available
65000412,Ben Munoz,Not Available
65000413,Ben O'Toole,Not Available
65000414,Ben Rosenfield (II),Not Available
65000415,Ben Schwartz,Not Available
65000416,Ben Stiller,30.Nov.65
65000417,Ben VanderMey,Not Available
65000418,Ben Whishaw,14.Oct.80
65000419,Bence Tasnádi,Not Available
65000420,Benedict Cumberbatch,19.Jul.76
