1,Aaron Horvath,6.Nov.87
2,Aaron Schimberg,Not Available
3,Abner Pastoll,Not Available
4,Adil El Arbi,Not Available
5,Agn\xe8s Varda,Not Available
6,Ai Weiwei,Not Available
7,Aisling Walsh,Not Available
8,Aki Kaurism\xe4ki,Not Available
9,Alain Gomis,Not Available
10,Alan Yang,Not Available
11,Alejandro Jodorowsky,Not Available
12,Alejandro Landes,Not Available
13,Alex Garland,Not Available
14,Alex Holmes,Not Available
15,Alex Thompson,Not Available
16,Alexandra Dean,Not Available
17,Alexandria Bombach,6.Nov.76
18,Alexis Bloom,Not Available
19,Alfonso Cuar\xf3n,Not Available
20,Ali Abbasi,Not Available
21,Alice Wu,Not Available
22,Alma Har'el,Not Available
23,Amanda Lipitz,Not Available
24,Andrew Ahn,Not Available
25,Andrew Bujalski,6.Nov.78
26,Andrew Haigh,Not Available
27,Andrew Patterson,Not Available
28,Andrey Zvyagintsev,Not Available
29,Andy Muschietti,Not Available
30,Aneesh Chaganty,Not Available
31,Anna Boden,Not Available
32,Annabelle Attanasio,Not Available
33,Annie Silverstein,Not Available
34,Ant Timpson,Not Available
35,Anthony Russo,14.Sep.70
36,Antonio Santini,Not Available
37,Ari Aster,Not Available
38,Armando Iannucci,Not Available
39,Asghar Farhadi,Not Available
40,Atsuko Hirayanagi,Not Available
41,Autumn de Wilde,Not Available
42,Avi Belkin,Not Available
43,Barak Goodman,Not Available
44,Barry Jenkins (III),10.Mar.88
45,Bart Layton,6.Nov.75
46,Benedikt Erlingsson,Not Available
47,Benjam\xedn Naishtat,Not Available
48,Benjamin Kasulke,Not Available
49,Benjamin Ree,Not Available
50,Benny Safdie,Not Available
51,Bert & Bertie,Not Available
52,Bertrand Bonello,Not Available
53,Betsy West,Not Available
54,Beyonc\xe9 Knowles,Not Available
55,Bing Liu,Not Available
56,Bo Burnham,Not Available
57,Bob Persichetti,Not Available
58,Bong Joon Ho,14.Sep.69
59,Boots Riley,Not Available
60,Brad Bird,Not Available
61,Bradley Cooper,Not Available
62,Brett Haley,6.Nov.80
63,Brett Morgen,Not Available
64,Brett Pierce,Not Available
65,Bryan Fogel,Not Available
