20170001,Lady Bird (2017),1,93,99,135
20170002,Get Out (2017),2,104,98,182
20170003,Wonder Woman (2017),3,141,93,285
20170004,Dunkirk (2017),4,107,93,82
20170005,Coco (2017),5,109,97,214
20170006,The Shape of Water (2017),6,119,92,137
20170007,Thor: Ragnarok (2017),7,130,93,346
20170008,Logan (2017),8,135,93,156
20170009,The Big Sick (2017),9,119,98,258
20170010,Star Wars: The Last Jedi (2017),10,152,90,309
20170011,Baby Driver (2017),11,113,93,114
20170012,War for the Planet of the Apes (2017),12,140,94,247
20170013,The Florida Project (2017),13,115,96,329
20170014,Spider-Man: Homecoming (2017),14,133,92,178
20170015,I Am Not Your Negro (2017),15,93,99,307
20170016,Three Billboards Outside Ebbing; Missouri (2017),16,115,90,241
20170017,Hidden Figures (2017),17,127,93,352
20170018,Blade Runner 2049 (2017),18,164,87,108
20170019,The Disaster Artist (2017),19,104,91,153
20170020,Mudbound (2017),20,134,97,107
20170021,Faces Places (Visages; villages) (2017),21,90,99,188
20170022,My Life as a Zucchini (Ma vie de courgette) (2017),22,66,99,83
20170023,The Salesman (Forushande) (2017),23,125,96,39
20170024,Logan Lucky (2017),24,119,92,342
20170025,The Lego Batman Movie (2017),25,90,90,77
20170026,BPM (Beats Per Minute) (120 battements par minute) (2017),26,146,98,317
20170027,God's Own Country (2017),27,104,98,128
20170028,Kedi (2017),28,79,98,73
20170029,Lucky (2017),29,86,97,174
20170030,Guardians of the Galaxy Vol. 2 (2017),30,137,85,155
20170031,A Ghost Story (2017),31,87,91,104
20170032,Your Name. (Kimi No Na Wa.) (2017),32,106,98,230
20170033,Jane (2017),33,90,98,63
20170034,Good Time (2017),34,100,92,50
20170035,City of Ghosts (2017),35,91,98,250
20170036,Columbus (2017),36,104,97,207
20170037,Dawson City: Frozen Time (2017),37,120,100,275
20170038,Bright Lights: Starring Carrie Fisher and Debbie Reynolds (2017),38,95,100,18
20170039,The Work (2017),39,87,100,152
20170040,Truman (2017),40,NULL,99,72
