MID,Title,Casting
20170001,Lady Bird (2017),Saoirse Ronan
20170001,Lady Bird (2017),Laurie Metcalf
20170001,Lady Bird (2017),Tracy Letts
20170002,Get Out (2017),Daniel Kaluuya
20170002,Get Out (2017),Allison Williams
20170002,Get Out (2017),Catherine Keener
20170003,Wonder Woman (2017),Gal Gadot
20170003,Wonder Woman (2017),Chris Pine
20170003,Wonder Woman (2017),Connie Nielsen
20170004,Dunkirk (2017),Fionn Whitehead
20170004,Dunkirk (2017),Tom Glynn-Carney
20170004,Dunkirk (2017),Jack Lowden
20170005,Coco (2017),"Anthony Gonzalez, Anthony Gonzalez, Gael Garc\xeda Bernal, Gael Garc\xeda Bernal, Benjamin Bratt, Benjamin Bratt"
20170005,Coco (2017),"Anthony Gonzalez, Anthony Gonzalez, Gael Garc\xeda Bernal, Gael Garc\xeda Bernal, Benjamin Bratt, Benjamin Bratt"
20170005,Coco (2017),"Anthony Gonzalez, Anthony Gonzalez, Gael Garc\xeda Bernal, Gael Garc\xeda Bernal, Benjamin Bratt, Benjamin Bratt"
20170006,The Shape of Water (2017),"Sally Hawkins, Sally Hawkins, Michael Shannon, Michael Shannon, Richard Jenkins, Richard Jenkins"
20170006,The Shape of Water (2017),"Sally Hawkins, Sally Hawkins, Michael Shannon, Michael Shannon, Richard Jenkins, Richard Jenkins"
20170006,The Shape of Water (2017),"Sally Hawkins, Sally Hawkins, Michael Shannon, Michael Shannon, Richard Jenkins, Richard Jenkins"
20170007,Thor: Ragnarok (2017),"Chris Hemsworth, Chris Hemsworth, Tom Hiddleston, Tom Hiddleston, Mark Ruffalo, Mark Ruffalo"
20170007,Thor: Ragnarok (2017),"Chris Hemsworth, Chris Hemsworth, Tom Hiddleston, Tom Hiddleston, Mark Ruffalo, Mark Ruffalo"
20170007,Thor: Ragnarok (2017),"Chris Hemsworth, Chris Hemsworth, Tom Hiddleston, Tom Hiddleston, Mark Ruffalo, Mark Ruffalo"
20170008,Logan (2017),"Hugh Jackman, Hugh Jackman, Patrick Stewart, Patrick Stewart, Boyd Holbrook, Boyd Holbrook"
20170008,Logan (2017),"Hugh Jackman, Hugh Jackman, Patrick Stewart, Patrick Stewart, Boyd Holbrook, Boyd Holbrook"
20170008,Logan (2017),"Hugh Jackman, Hugh Jackman, Patrick Stewart, Patrick Stewart, Boyd Holbrook, Boyd Holbrook"
20170009,The Big Sick (2017),"Kumail Nanjiani, Kumail Nanjiani, Zoe Kazan, Zoe Kazan, Holly Hunter, Holly Hunter"
20170009,The Big Sick (2017),"Kumail Nanjiani, Kumail Nanjiani, Zoe Kazan, Zoe Kazan, Holly Hunter, Holly Hunter"
20170009,The Big Sick (2017),"Kumail Nanjiani, Kumail Nanjiani, Zoe Kazan, Zoe Kazan, Holly Hunter, Holly Hunter"
20170010,Star Wars: The Last Jedi (2017),"Mark Hamill, Mark Hamill, Carrie Fisher, Carrie Fisher, Adam Driver, Adam Driver"
20170010,Star Wars: The Last Jedi (2017),"Mark Hamill, Mark Hamill, Carrie Fisher, Carrie Fisher, Adam Driver, Adam Driver"
20170010,Star Wars: The Last Jedi (2017),"Mark Hamill, Mark Hamill, Carrie Fisher, Carrie Fisher, Adam Driver, Adam Driver"
20170011,Baby Driver (2017),"Ansel Elgort, Ansel Elgort, Kevin Spacey, Kevin Spacey, Lily James, Lily James"
20170011,Baby Driver (2017),"Ansel Elgort, Ansel Elgort, Kevin Spacey, Kevin Spacey, Lily James, Lily James"
20170011,Baby Driver (2017),"Ansel Elgort, Ansel Elgort, Kevin Spacey, Kevin Spacey, Lily James, Lily James"
20170012,War for the Planet of the Apes (2017),"Andy Serkis, Andy Serkis, Woody Harrelson, Woody Harrelson, Steve Zahn, Steve Zahn"
20170012,War for the Planet of the Apes (2017),"Andy Serkis, Andy Serkis, Woody Harrelson, Woody Harrelson, Steve Zahn, Steve Zahn"
20170012,War for the Planet of the Apes (2017),"Andy Serkis, Andy Serkis, Woody Harrelson, Woody Harrelson, Steve Zahn, Steve Zahn"
20170013,The Florida Project (2017),"Willem Dafoe, Willem Dafoe, Brooklynn Prince, Brooklynn Prince, Valeria Cotto, Valeria Cotto"
20170013,The Florida Project (2017),"Willem Dafoe, Willem Dafoe, Brooklynn Prince, Brooklynn Prince, Valeria Cotto, Valeria Cotto"
20170013,The Florida Project (2017),"Willem Dafoe, Willem Dafoe, Brooklynn Prince, Brooklynn Prince, Valeria Cotto, Valeria Cotto"
20170014,Spider-Man: Homecoming (2017),"Tom Holland (II), Tom Holland (II), Michael Keaton, Michael Keaton, Robert Downey Jr., Robert Downey Jr."
