movie_id,Title,Genre
19980002,Saving Private Ryan (1998),Action & Adventure
19980002,Saving Private Ryan (1998),Drama
19980003,Shakespeare in Love (1998),Comedy
19980003,Shakespeare in Love (1998),Romance
19980004,Gods and Monsters (1998),Drama
19980005,Out of Sight (1998),Action & Adventure
19980005,Out of Sight (1998),Comedy
19980005,Out of Sight (1998),Drama
19980005,Out of Sight (1998),Mystery & Suspense
19980005,Out of Sight (1998),Romance
19980006,Antz (1998),Animation
19980006,Antz (1998),Comedy
19980006,Antz (1998),Kids & Family
19980006,Antz (1998),Science Fiction & Fantasy
19980007,A Bug's Life (1998),Animation
19980007,A Bug's Life (1998),Kids & Family
19980007,A Bug's Life (1998),Science Fiction & Fantasy
19980008,Central Station (Central do Brasil) (1998),Art House & International
19980008,Central Station (Central do Brasil) (1998),Drama
19980009,The Dreamlife of Angels (1998),Art House & International
19980009,The Dreamlife of Angels (1998),Drama
19980010,Rushmore (1998),Comedy
19980011,Cure (1998),Art House & International
19980011,Cure (1998),Drama
19980011,Cure (1998),Mystery & Suspense
19980012,Ever After: A Cinderella Story (1998),Romance
19980012,Ever After: A Cinderella Story (1998),Drama
19980013,A Simple Plan (1998),Drama
19980013,A Simple Plan (1998),Mystery & Suspense
19980014,The Apostle (1998),Drama
19980015,One True Thing (1998),Drama
19980016,Hilary and Jackie (1998),Drama
19980017,Pi (1998),Action & Adventure
19980017,Pi (1998),Art House & International
19980017,Pi (1998),Drama
19980017,Pi (1998),Mystery & Suspense
19980017,Pi (1998),Science Fiction & Fantasy
19980017,Pi (1998),Special Interest
19980018,Pleasantville (1998),Comedy
19980018,Pleasantville (1998),Drama
19980018,Pleasantville (1998),Science Fiction & Fantasy
19980019,Mulan (1998),Action & Adventure
19980019,Mulan (1998),Animation
19980019,Mulan (1998),Kids & Family
19980020,The Parent Trap (1998),Comedy
19980020,The Parent Trap (1998),Kids & Family
19980021,The Big Lebowski (1998),Comedy
19980022,American History X (1998),Drama
19980023,There's Something About Mary (1998),Comedy
19980024,Last Night (1998),Comedy
19980024,Last Night (1998),Drama
19980025,Waking Ned Devine (1998),Comedy
19980026,The Mask of Zorro (1998),Action & Adventure
19980026,The Mask of Zorro (1998),Romance
19980027,The Thin Red Line (1998),Action & Adventure
19980027,The Thin Red Line (1998),Drama
19980028,Primary Colors (1998),Comedy
19980029,Elizabeth (1998),Drama
19980030,The Prince of Egypt (1998),Animation
19980030,The Prince of Egypt (1998),Kids & Family
19980030,The Prince of Egypt (1998),Drama
19980030,The Prince of Egypt (1998),Musical & Performing Arts
19980031,The General (1998),Drama
19980032,He Got Game (1998),Drama
19980033,Happiness (1998),Comedy
19980033,Happiness (1998),Drama
19980034,Slums of Beverly Hills (1998),Art House & International
19980034,Slums of Beverly Hills (1998),Comedy
19980035,Live Flesh (Carne tre'mula) (1998),Art House & International
19980035,Live Flesh (Carne tre'mula) (1998),Drama
19980036,The Opposite of Sex (1998),Comedy
19980037,Beloved (1998),Drama
19980037,Beloved (1998),Horror
19980038,Little Voice (1998),Art House & International
19980038,Little Voice (1998),Comedy
19980038,Little Voice (1998),Drama
19980039,Dark City (1998),Horror
19980039,Dark City (1998),Mystery & Suspense
19980039,Dark City (1998),Science Fiction & Fantasy
19980040,Your Friends & Neighbors (1998),Art House & International
19980040,Your Friends & Neighbors (1998),Drama
19980040,Your Friends & Neighbors (1998),Comedy
19980041,Bulworth (1998),Comedy
19980041,Bulworth (1998),Romance
19980041,Bulworth (1998),Drama
19980042,Buffalo '66 (1998),Art House & International
19980042,Buffalo '66 (1998),Drama
19980042,Buffalo '66 (1998),Comedy
19980043,The Negotiator (1998),Action & Adventure
19980043,The Negotiator (1998),Mystery & Suspense
19980044,Next Stop Wonderland (1998),Comedy
19980044,Next Stop Wonderland (1998),Romance
19980044,Next Stop Wonderland (1998),Drama
19980045,The Horse Whisperer (1998),Romance
19980045,The Horse Whisperer (1998),Drama
19980045,The Horse Whisperer (1998),Western
19980046,The Mighty (1998),Drama
19980047,Enemy of the State (1998),Action & Adventure
19980047,Enemy of the State (1998),Mystery & Suspense
19980048,Last Days of Disco (1998),Art House & International
19980048,Last Days of Disco (1998),Comedy
19980048,Last Days of Disco (1998),Romance
19980048,Last Days of Disco (1998),Drama
19980049,Les Miserables (1998),Special Interest
19980049,Les Miserables (1998),Drama
19980050,High Art (1998),Romance
19980050,High Art (1998),Drama
19980051,Yove Got Mail (1998),Comedy
19980051,Yove Got Mail (1998),Romance
19980051,Yove Got Mail (1998),Drama
19980052,Wilde (1998),Drama
19980053,Return to Paradise (1998),Drama
19980053,Return to Paradise (1998),Mystery & Suspense
19980054,The Wedding Singer (1998),Comedy
19980054,The Wedding Singer (1998),Romance
19980054,The Wedding Singer (1998),Drama
19980055,Ronin (1998),Action & Adventure
19980055,Ronin (1998),Mystery & Suspense
19980056,Rounders (1998),Drama
19980057,The X-Files - Fight the Future (1998),Mystery & Suspense
19980057,The X-Files - Fight the Future (1998),Science Fiction & Fantasy
19980058,Babe: Pig in the City (1998),Comedy
19980058,Babe: Pig in the City (1998),Kids & Family
19980058,Babe: Pig in the City (1998),Science Fiction & Fantasy
19980059,Hideous Kinky (1998),Drama
19980060,Wild Things (1998),Comedy
19980060,Wild Things (1998),Drama
19980060,Wild Things (1998),Mystery & Suspense
19980061,Sliding Doors (1998),Drama
19980061,Sliding Doors (1998),Comedy
19980061,Sliding Doors (1998),Science Fiction & Fantasy
19980061,Sliding Doors (1998),Romance
19980062,Kurt & Courtney (1998),Documentary
19980062,Kurt & Courtney (1998),Musical & Performing Arts
19980062,Kurt & Courtney (1998),Special Interest
19980063,A Civil Action (1998),Drama
19980063,A Civil Action (1998),Mystery & Suspense
19980064,Clay Pigeons (1998),Art House & International
19980064,Clay Pigeons (1998),Drama
19980064,Clay Pigeons (1998),Comedy
19980064,Clay Pigeons (1998),Mystery & Suspense
19980065,Rush Hour (1998),Action & Adventure
19980065,Rush Hour (1998),Comedy
19980066,Twilight (1998),Mystery & Suspense
19980067,Playing by Heart (1998),Comedy
19980067,Playing by Heart (1998),Romance
19980067,Playing by Heart (1998),Drama
19980068,The Rugrats Movie (1998),Animation
19980068,The Rugrats Movie (1998),Kids & Family
19980068,The Rugrats Movie (1998),Television
19980069,City of Angels (1998),Drama
19980069,City of Angels (1998),Science Fiction & Fantasy
19980069,City of Angels (1998),Romance
19980070,Blade (1998),Action & Adventure
19980070,Blade (1998),Horror
19980070,Blade (1998),Science Fiction & Fantasy
19980071,Permanent Midnight (1998),Documentary
19980071,Permanent Midnight (1998),Drama
19980072,Velvet Goldmine (1998),Drama
19980072,Velvet Goldmine (1998),Musical & Performing Arts
19980073,Star Trek: Insurrection (1998),Action & Adventure
19980073,Star Trek: Insurrection (1998),Science Fiction & Fantasy
19980074,A Perfect Murder (1998),Mystery & Suspense
19980075,What Dreams May Come (1998),Romance
19980075,What Dreams May Come (1998),Drama
19980075,What Dreams May Come (1998),Science Fiction & Fantasy
19980076,Mighty Joe Young (1998),Action & Adventure
19980076,Mighty Joe Young (1998),Drama
19980076,Mighty Joe Young (1998),Kids & Family
19980077,Lethal Weapon 4 (1998),Action & Adventure
19980078,The Object of My Affection (1998),Drama
19980078,The Object of My Affection (1998),Comedy
19980079,Apt Pupil (Un \xc9le've Doue' (1998),Drama
19980079,Apt Pupil (Un \xc9le've Doue' (1998),Horror
19980079,Apt Pupil (Un \xc9le've Doue' (1998),Mystery & Suspense
19980080,The Faculty (1998),Horror
19980080,The Faculty (1998),Science Fiction & Fantasy
19980081,Halloween H20 (1998),Horror
19980082,Why Do Fools Fall In Love (1998),Comedy
19980082,Why Do Fools Fall In Love (1998),Drama
19980082,Why Do Fools Fall In Love (1998),Musical & Performing Arts
19980082,Why Do Fools Fall In Love (1998),Romance
