MID,Rating,Score,Title,Director,Runtime,
20170001,1,99%,Lady Bird (2017),Greta Gerwig,93,
20170002,2,98%,Get Out (2017),Jordan Peele,104,
20170003,3,93%,Wonder Woman (2017),Patty Jenkins,141,
20170004,4,93%,Dunkirk (2017),Christopher Nolan,107,
20170005,5,97%,Coco (2017),Lee Unkrich; Adrian Molina,109,
20170006,6,92%,The Shape of Water (2017),Guillermo del Toro,119,
20170007,7,93%,Thor: Ragnarok (2017),Taika Waititi,130,
20170008,8,93%,Logan (2017),James Mangold,135,
20170009,9,98%,The Big Sick (2017),Michael Showalter,119,
20170010,10,90%,Star Wars: The Last Jedi (2017),Rian Johnson,152,
20170011,11,93%,Baby Driver (2017),Edgar Wright,113,
20170012,12,94%,War for the Planet of the Apes (2017),Matt Reeves,140,
20170013,13,96%,The Florida Project (2017),Sean Baker (II),115,
20170014,14,92%,Spider-Man: Homecoming (2017),Jon Watts,133,
20170015,15,99%,I Am Not Your Negro (2017),Raoul Peck,93,
20170016,16,90%,Three Billboards Outside Ebbing; Missouri (2017),Martin McDonagh,115,
20170017,17,93%,Hidden Figures (2017),Ted Melfi,127,
20170018,18,87%,Blade Runner 2049 (2017),Denis Villeneuve,164,
20170019,19,91%,The Disaster Artist (2017),James Franco,104,
20170020,20,97%,Mudbound (2017),Dee Rees,134,
20170021,21,99%,Faces Places (Visages; villages) (2017),JR; Agn\xe8s Varda,90,
20170022,22,99%,My Life as a Zucchini (Ma vie de courgette) (2017),Claude Barras,66,
20170023,23,96%,The Salesman (Forushande) (2017),Asghar Farhadi,125,
20170024,24,92%,Logan Lucky (2017),Steven Soderbergh,119,
20170025,25,90%,The Lego Batman Movie (2017),Chris McKay,90,
20170026,26,98%,BPM (Beats Per Minute) (120 battements par minute) (2017),Robin Campillo,146,
20170027,27,98%,God's Own Country (2017),Francis Lee,104,
20170028,28,98%,Kedi (2017),Ceyda Torun,79,
20170029,29,97%,Lucky (2017),John Carroll Lynch,86,
20170030,30,85%,Guardians of the Galaxy Vol. 2 (2017),James Gunn (II),137,
20170031,31,91%,A Ghost Story (2017),David Lowery,87,
20170032,32,98%,Your Name. (Kimi No Na Wa.) (2017),Makoto Shinkai,106,
20170033,33,98%,Jane (2017),Brett Morgen,90,
20170034,34,92%,Good Time (2017),Benny Safdie; Josh Safdie,100,
20170035,35,98%,City of Ghosts (2017),Matthew Heineman,91,
20170036,36,97%,Columbus (2017),Kogonada,104,
20170037,37,100%,Dawson City: Frozen Time (2017),('Direct : No Director,120,
20170038,38,100%,Bright Lights: Starring Carrie Fisher and Debbie Reynolds (2017),Alexis Bloom,95,
20170039,39,100%,The Work (2017),Jairus McLeary; Gethin Aldous,87,
20170040,40,99%,Truman (2017),Cesc Gay, ,
20170041,41,100%,Strong Island (2017),No Director,107,
20170042,42,96%,After the Storm (Umi yori mo mada fukaku) (2017),Hirokazu Koreeda,117,
20170043,43,85%,It (2017),Andy Muschietti,135,
20170044,44,98%,Whose Streets? (2017),Sabaah Folayan,100,
20170045,45,89%,John Wick: Chapter 2 (2017),Chad Stahelski,122,
20170046,46,96%,Menashe (2017),Joshua Z. Weinstein,81,
20170047,47,95%,Graduation (Bacalaureat) (2017),Cristian Mungiu,127,
20170048,48,98%,Quest (2017),Jonathan Olshefski,105,
20170049,49,96%,Step (2017),Amanda Lipitz,83,
20170050,50,98%,Dina (2017),Antonio Santini; Dan Sickles,101,
20170051,51,92%,Raw (2017),Julia Ducournau,98,
20170052,52,93%,The Red Turtle (La tortue rouge) (2017),Micha\xebl Dudok De Wit,80,
20170053,53,97%,In This Corner of the World (Kono sekai no katasumi ni) (2017),Sunao Katabuchi,129,
20170054,54,92%,The Meyerowitz Stories (New and Selected) (2017),Noah Baumbach, ,
20170055,55,92%,I; Daniel Blake (2017),Ken Loach,100,
20170056,56,97%,Ex Libris: New York Public Library (2017),Frederick Wiseman,197,
20170057,57,96%,Bombshell: The Hedy Lamarr Story (2017),Alexandra Dean,90,
20170058,58,98%,The Last Laugh (2017),Ferne Pearlstein,90,
20170059,59,97%,1945 (2017),Ferenc Torok,91,
20170060,60,98%,Dolores (2017),Peter Bratt,98,
